t_ticks,kind,dx,dy
6262484738909,m,1,0
6262484763066,m,3,0
6262484787039,m,2,0
6262484811005,m,1,0
6262484835039,m,2,0
6262484858873,m,2,0
6262484882842,m,2,0
6262484906932,L,0,0
6262484906932,m,1,0
6262484931128,m,2,0
6262484955254,m,2,0
6262484979315,m,2,0
6262485002841,m,1,0
6262485027096,m,2,0
6262485050888,m,1,0
6262485075255,m,2,0
6262485098872,m,2,0
6262485122847,m,0,0
6262485146923,m,2,0
6262485171139,m,1,0
6262485195140,m,2,0
6262485219330,m,1,0
6262485242807,m,1,0
6262485267163,m,0,0
6262485290986,m,2,0
6262485315093,m,1,0
6262485339088,m,1,0
6262485362927,m,1,0
6262485386834,m,1,0
6262485411330,m,1,0
6262485483190,m,0,0
6262485506991,m,2,0
6262485531039,m,1,0
6262485627322,m,1,0
6262485771399,m,2,0
6262485794894,m,1,0
6262487019256,Lu,0,0
6262487523316,m,0,1
6262488915249,L,0,0
6262488963544,m,0,0
6262489035185,m,1,1
6262489058908,m,1,0
6262489082910,m,1,1
6262489106929,m,1,0
6262489275252,m,2,0
6262489298979,m,1,1
6262489347272,m,1,0
6262489370940,m,0,1
6262489394891,m,1,0
6262489419378,m,1,0
6262489443069,m,1,1
6262489491284,m,1,0
6262489514978,m,1,1
6262489538876,m,1,0
6262489563460,m,0,0
6262489587098,m,1,1
6262489611227,m,1,0
6262489634994,m,2,1
6262489659044,m,1,0
6262489731452,m,1,1
6262489755117,m,3,0
6262489778902,m,1,0
6262489803021,m,1,1
6262489827168,m,1,0
6262489851306,m,2,1
6262489875190,m,0,0
6262489898988,m,2,1
6262489922973,m,1,0
6262489946824,m,1,1
6262489971104,m,2,0
6262489995106,m,1,0
6262490019028,m,1,1
6262490043060,m,2,1
6262490066859,m,1,0
6262490090969,m,2,1
6262490115426,m,1,0
6262490139319,m,2,0
6262490162870,m,2,0
6262490187223,m,3,1
6262490210850,m,1,1
6262490235037,m,2,0
6262490259170,m,3,1
6262490283162,m,2,1
6262490306856,m,3,1
6262490330916,m,3,0
6262490354819,m,3,1
6262490378929,m,3,1
6262490403008,m,3,0
6262490427114,m,5,1
6262490451105,m,3,1
6262490475157,m,4,1
6262490499032,m,5,0
6262490522799,m,4,2
6262490547287,m,5,0
6262490571203,m,7,1
6262490594870,m,5,1
6262490618773,m,6,0
6262490642861,m,7,1
6262490667287,m,7,1
6262490714954,m,16,2
6262490739064,Lu,0,0
6262490739064,m,8,1
6262490763384,m,10,2
6262490786898,m,10,0
6262490811002,m,10,1
6262490835046,m,11,1
6262490858923,m,12,1
6262490883517,m,12,2
6262490907134,m,12,1
6262490930922,m,14,1
6262490954855,m,14,1
6262490979080,m,15,2
6262491003052,m,16,2
6262491026973,m,17,2
6262491050834,m,17,1
6262491053847,d,0,0
6262491075877,m,18,2
6262491098972,m,19,2
6262491123205,m,19,2
6262491146871,m,20,1
6262491170881,m,21,2
6262491195060,m,21,2
6262491219456,m,23,2
6262491242883,m,23,2
6262491266911,m,23,2
6262491290920,m,24,2
6262491315366,m,25,1
6262491338836,m,26,2
6262491362870,m,26,2
6262491387185,m,26,2
6262491411118,m,28,1
6262491434818,m,27,2
6262491458863,m,28,2
6262491483531,m,30,2
6262491507451,m,29,1
6262491531125,m,30,1
6262491555072,m,30,1
6262491578905,m,30,2
6262491602842,m,31,2
6262491627754,m,30,1
6262491651514,m,33,1
6262491674910,m,31,1
6262491698935,m,34,1
6262491723375,m,32,1
6262491746962,m,32,2
6262491770758,m,34,1
6262491795315,m,34,0
6262491819173,m,33,0
6262491843057,m,34,1
6262491867281,m,34,0
6262491890937,m,35,1
6262491915579,m,35,1
6262491939128,m,35,1
6262491963317,m,36,0
6262491987258,m,36,0
6262492010819,m,37,0
6262492034959,m,36,0
6262492058964,m,36,0
6262492082924,m,37,0
6262492106920,m,37,0
6262492131356,m,38,0
6262492155093,m,39,0
6262492179871,m,40,0
6262492202924,m,40,0
6262492227151,m,41,-1
6262492251240,m,41,-1
6262492275494,m,42,-1
6262492298871,m,42,0
6262492322907,m,42,0
6262492346887,m,43,0
6262492370927,m,44,0
6262492395038,m,45,0
6262492419157,m,45,0
6262492443299,m,48,0
6262492467119,m,47,-1
6262492490948,m,48,-1
6262492514826,m,49,0
6262492539022,m,51,-1
6262492563172,m,49,-2
6262492587094,m,49,-2
6262492611106,m,48,-1
6262492635302,m,47,-2
6262492659212,m,48,-1
6262492682958,m,47,-2
6262492706923,m,47,-2
6262492732622,m,47,-2
6262492755186,m,47,-3
6262492779117,m,48,-2
6262492802889,m,47,-3
6262492826977,m,47,-3
6262492851226,m,46,-2
6262492874979,m,48,-3
6262492898932,m,46,-2
6262492923303,m,46,-3
6262492947152,m,47,-3
6262492971468,m,46,-2
6262492994859,m,46,-3
6262493018853,m,46,-3
6262493043127,m,46,-3
6262493067044,m,44,-3
6262493090901,m,46,-2
6262493115288,m,44,-4
6262493138947,m,44,-2
6262493162907,m,44,-3
6262493186910,m,44,-3
6262493212202,m,43,-3
6262493234804,m,43,-3
6262493259543,m,42,-2
6262493282992,m,42,-3
6262493307155,m,41,-3
6262493331074,m,41,-2
6262493355093,m,41,-2
6262493378840,m,39,-3
6262493402840,m,39,-2
6262493427034,m,39,-2
6262493450910,m,38,-3
6262493475223,m,37,-1
6262493499101,m,38,-2
6262493523173,m,36,-3
6262493547426,m,36,-2
6262493570929,m,35,-1
6262493595103,m,34,-2
6262493618921,m,33,-3
6262493642916,m,33,-1
6262493667074,m,33,-2
6262493691196,m,31,-3
6262493714899,m,31,-2
6262493739732,m,30,-1
6262493764442,m,30,-3
6262493787117,m,29,-2
6262493810909,m,28,-1
6262493834818,m,27,-3
6262493858889,m,27,-2
6262493883291,m,26,-2
6262493907045,m,26,-2
6262493930934,m,24,-3
6262493955314,m,24,-2
6262493978813,m,24,-1
6262494003043,m,22,-3
6262494027135,m,22,-2
6262494050913,m,21,-2
6262494075041,m,21,-2
6262494099086,m,20,-3
6262494123265,m,20,-1
6262494147149,m,18,-2
6262494171240,m,18,-3
6262494195258,m,18,-2
6262494197853,s,0,0
6262494219033,m,16,-1
6262494243311,m,16,-3
6262494267087,m,16,-2
6262494291029,m,15,-1
6262494315087,m,15,-3
6262494338930,m,13,-2
6262494363219,m,14,-2
6262494386837,m,12,-1
6262494411172,m,12,-2
6262494434795,m,12,-2
6262494458831,m,11,-2
6262494482842,m,11,-1
6262494506871,m,9,-2
6262494530815,m,10,-2
6262494555264,m,9,-2
6262494579099,m,9,-1
6262494602820,m,8,-1
6262494626965,m,8,-2
6262494652398,m,7,-2
6262494675628,m,7,-1
6262494698964,m,7,0
6262494722876,m,6,-2
6262494747192,m,6,-1
6262494770996,m,5,-1
6262494794979,m,6,-1
6262494818919,m,5,-1
6262494842825,m,4,-1
6262494866927,m,5,0
6262494891271,m,3,-1
6262494915220,m,5,-1
6262494938942,m,3,0
6262494963088,m,4,-1
6262494986923,m,2,0
6262495010911,m,4,-1
6262495034997,m,2,0
6262495058861,m,3,-1
6262495082874,m,3,0
6262495107319,m,2,0
6262495130903,m,2,-1
6262495155579,m,2,0
6262495179373,m,2,0
6262495202855,m,2,0
6262495226880,m,2,0
6262495251159,m,2,0
6262495274883,m,1,0
6262495298778,m,2,0
6262495323220,m,2,0
6262495346827,m,2,-1
6262495370897,m,1,0
6262495395441,m,2,0
6262495418861,m,2,0
6262495442913,m,2,0
6262495466868,m,0,0
6262495490844,m,2,0
6262495514872,m,2,0
6262495539062,m,2,0
6262495563281,m,1,0
6262495586891,m,2,0
6262495610912,m,3,0
6262495634881,m,2,0
6262495659206,m,1,0
6262495682978,m,2,0
6262495707515,m,2,0
6262495730791,m,2,1
6262495754998,m,2,0
6262495779402,m,3,0
6262495803183,m,2,0
6262495827405,m,2,1
6262495850921,m,3,0
6262495875234,m,2,0
6262495899249,m,2,1
6262495922903,m,3,0
6262495946976,m,2,0
6262495971063,m,3,0
6262495994935,m,3,1
6262496019946,m,2,0
6262496021876,Du,0,0
6262496043401,m,4,0
6262496067038,m,2,0
6262496090911,m,3,1
6262496115157,m,4,0
6262496139038,m,2,0
6262496163001,m,4,0
6262496186856,m,2,1
6262496210868,m,4,0
6262496235435,m,3,0
6262496258948,m,3,0
6262496282864,m,3,0
6262496306893,m,4,0
6262496330982,m,3,0
6262496354924,m,3,0
6262496379246,m,4,0
6262496402835,m,3,0
6262496426831,m,4,0
6262496451130,m,3,0
6262496475019,m,4,0
6262496499200,m,3,0
6262496522908,m,3,0
6262496546899,m,3,0
6262496571362,m,4,1
6262496595022,m,3,0
6262496618983,m,4,0
6262496642972,m,2,0
6262496666924,m,4,0
6262496691041,m,3,0
6262496714865,m,3,0
6262496738997,m,3,0
6262496764088,m,3,0
6262496786868,m,3,0
6262496810875,m,2,0
6262496835285,m,3,0
6262496859378,m,3,0
6262496883406,m,2,0
6262496906802,m,3,0
6262496930884,m,2,0
6262496955275,m,2,0
