t_ticks,kind,dx,dy
6251377288449,m,-9,0
6251377312449,m,-8,0
6251377336537,m,-9,0
6251377360852,m,-9,0
6251377384670,m,-8,0
6251377408842,m,-9,0
6251377432442,m,-9,1
6251377456689,m,-9,0
6251377480731,m,-9,0
6251377504720,m,-10,0
6251377528250,m,-9,0
6251377552328,m,-10,0
6251377576401,m,-10,0
6251377600311,m,-9,0
6251377624982,m,-11,0
6251377648330,m,-9,0
6251377672402,m,-11,0
6251377696326,m,-10,0
6251377720585,m,-10,0
6251377744629,m,-11,-1
6251377768867,m,-9,0
6251377792483,m,-11,0
6251377816288,m,-10,0
6251377840444,m,-12,0
6251377864616,m,-10,0
6251377888732,m,-11,0
6251377912360,m,-11,-1
6251377936487,m,-10,0
6251377960473,m,-12,0
6251377984311,m,-10,-1
6251378008320,m,-12,0
6251378032370,m,-11,-1
6251378056454,m,-11,0
6251378080465,m,-12,0
6251378104347,m,-11,-1
6251378128671,m,-12,0
6251378153109,m,-11,0
6251378176395,m,-11,-1
6251378200290,m,-12,0
6251378224432,m,-11,-1
6251378248768,m,-11,0
6251378272424,m,-12,0
6251378296363,m,-11,-1
6251378320692,m,-12,0
6251378344374,m,-12,0
6251378368374,m,-11,0
6251378392410,m,-12,0
6251378416286,m,-10,0
6251378440694,m,-11,0
6251378464598,m,-12,0
6251378488343,m,-10,0
6251378512573,m,-12,0
6251378536366,m,-10,0
6251378560545,m,-11,0
6251378584325,m,-10,0
6251378608650,m,-11,0
6251378632387,m,-9,1
6251378656361,m,-11,0
6251378680513,m,-9,0
6251378704341,m,-10,1
6251378728343,m,-10,0
6251378752409,m,-8,1
6251378776476,m,-10,0
6251378800416,m,-8,1
6251378824412,m,-9,1
6251378848788,m,-8,0
6251378872938,m,-8,1
6251378896330,m,-9,0
6251378920313,m,-8,1
6251378944333,m,-7,0
6251378968404,m,-8,1
6251378992977,m,-7,1
6251379016355,m,-7,1
6251379040464,m,-7,1
6251379064392,m,-7,1
6251379088427,m,-6,1
6251379112310,m,-6,0
6251379136710,m,-6,1
6251379160721,m,-6,1
6251379184714,m,-6,1
6251379208830,m,-7,1
6251379232283,m,-5,2
6251379256605,m,-5,1
6251379280383,m,-5,0
6251379304607,m,-6,1
6251379328550,m,-4,2
6251379352894,m,-5,1
6251379376525,m,-5,1
6251379401571,m,-4,2
6251379425144,m,-3,0
6251379448327,m,-5,1
6251379472372,m,-3,2
6251379496291,m,-4,1
6251379520821,m,-2,2
6251379544645,m,-4,1
6251379568361,m,-3,1
6251379592619,m,-2,1
6251379618289,m,-3,2
6251379640415,m,-2,1
6251379664496,m,-1,2
6251379688546,m,-2,0
6251379712397,m,-1,2
6251379736301,m,-2,1
6251379760427,m,0,2
6251379785250,m,-1,1
6251379808278,m,0,1
6251379833100,m,0,1
6251379856380,m,0,2
6251379880309,m,0,1
6251379904414,m,0,2
6251379953185,m,1,1
6251379976566,m,1,1
6251380001095,m,2,1
6251380024936,m,1,1
6251380048817,m,1,2
6251380073028,m,1,1
6251380096352,m,2,1
6251380121586,m,2,1
6251380145141,m,2,2
6251380168353,m,2,2
6251380192313,m,2,1
6251380216284,m,3,1
6251380240337,m,2,1
6251380264278,m,2,1
6251380288699,m,3,0
6251380312468,m,1,3
6251380336487,m,5,1
6251380576741,m,1,0
6251385928714,m,1,0
6251385952538,m,1,0
6251386024940,m,2,0
6251386121585,m,2,-1
6251386144413,m,1,-1
6251386168589,m,0,-1
6251386192510,m,1,0
6251386216367,m,1,-1
6251386241124,m,2,-1
6251386264389,m,1,0
6251386288358,m,1,-1
6251386313192,m,1,0
6251386336587,m,0,-1
6251386360402,m,2,-1
6251386384697,m,1,-1
6251386408405,m,1,-1
6251386432719,m,2,-1
6251386456598,m,1,-1
6251386480408,m,0,0
6251386504578,m,2,-1
6251386528623,m,2,-1
6251386553520,m,1,-1
6251386576716,m,2,-1
6251386600654,m,0,-1
6251386624503,m,2,-1
6251386648698,m,2,-1
6251386672487,m,1,0
6251386697287,m,2,0
6251386720562,m,1,-1
6251386744710,m,2,-1
6251386768369,m,3,-1
6251386792864,m,1,0
