t_ns,kind,dx,dy
150115762407200,m,0,-1
150115860407600,m,-1,0
150115869693200,a,0,0
150115870292400,m,-1,0
150115879606900,Du,0,0
150115881337900,m,-4,0
150115890393500,m,-3,0
150115896394800,m,-5,0
150115904393700,m,-8,0
150115913396900,m,-13,0
150115921334500,m,-16,0
150115929381500,m,-26,0
150115937340600,m,-40,1
150115945342800,m,-59,2
150115953343000,m,-84,2
150115961358500,m,-98,4
150115969340100,m,-145,4
150115976451400,m,-159,5
150115985333400,m,-251,6
150115993375500,m,-267,6
150116001420300,m,-305,6
150116009364200,m,-337,4
150116017401500,m,-367,2
150116025378000,m,-391,2
150116033445800,m,-410,0
150116041344700,m,-420,0
150116048626400,m,-367,0
150116048707500,d,0,0
150116057472600,m,-463,-1
150116057676500,Au,0,0
150116065371200,m,-392,1
150116073348800,m,-368,4
150116081338200,m,-341,6
150116088415400,m,-271,5
150116097370800,m,-308,6
150116104667300,m,-202,4
150116113360300,m,-207,7
150116121347500,m,-134,5
150116128483500,m,-77,5
150116137439000,m,-50,3
150116152414300,m,-10,2
150116161603100,w,0,0
150116370435300,m,-1,0
150116383345400,m,-18,2
150116392386900,m,-10,1
150116399429900,m,-14,2
150116407347300,m,-22,4
150116415356800,m,-26,5
150116423346900,m,-31,3
150116431557100,m,-36,2
150116439345200,m,-36,0
150116447356800,m,-37,1
150116455352700,m,-32,0
150116463347100,m,-36,0
150116471418000,m,-36,0
150116479354800,m,-36,0
150116487364900,m,-36,0
150116495386300,m,-38,-2
150116503426600,m,-36,-2
150116511410000,m,-34,-2
150116519357300,m,-30,-2
150116527368100,m,-25,-1
150116528582300,Wu,0,0
150116535352900,m,-19,-2
150116543340800,m,-13,0
150116551398300,m,-8,-1
150116562475400,m,-5,-1
150116572404300,m,-1,0
150116624416800,m,-1,0
150116640386800,m,-7,-1
150116647375200,m,-5,0
150116656404900,m,-9,-1
150116663341500,m,-11,-1
150116671362900,m,-9,0
150116679355000,m,-12,-2
150116687356800,m,-13,-1
150116695450100,m,-14,-2
150116703442500,m,-15,-2
150116711357200,m,-14,-3
150116719345100,m,-14,-2
150116727550400,m,-13,-3
150116735353600,m,-12,-3
150116743448700,m,-11,-2
150116751358000,m,-12,-2
150116759381200,m,-10,-2
150116767531800,m,-10,-2
150116775367100,m,-8,-2
150116783350000,m,-9,-2
150116791350400,m,-8,-1
150116800387200,m,-7,-2
150116810450300,m,-6,-1
150116816361000,m,-4,-1
150116825404600,m,-5,-1
150116831390900,m,-5,-1
150116838430600,m,-3,-1
150116846439100,m,-5,0
150116855417000,m,-7,-1
150116863359200,m,-9,-1
150116871493100,m,-11,-2
150116878469900,m,-10,-1
150116887389300,m,-15,-2
150116895359200,m,-14,-2
150116903347300,m,-13,-2
150116911367500,m,-14,-2
150116919351500,m,-11,-2
150116927375000,m,-12,-2
150116935342700,m,-13,-1
150116943346300,m,-12,-2
150116951350100,m,-11,-2
150116959344600,m,-10,-2
150116967374200,m,-9,-2
150116976379600,m,-8,-1
150116983387600,m,-6,-1
150116992429100,m,-6,-1
150117000402100,m,-4,-1
150117011394100,m,-3,-1
150117017424500,m,-2,0
150117028489900,m,-1,0
150117042403200,m,-3,-1
150117048446100,m,-1,0
150117061485000,m,-1,-1
150117067453800,m,-1,0
150117084469200,m,-3,-1
150117091425500,m,-1,0
150117106400300,m,-7,-2
150117112350800,m,-4,0
150117121506100,m,-6,0
150117129413300,m,-8,0
150117136372600,m,-9,0
150117144352100,m,-8,0
150117153392900,m,-7,0
150117160350100,m,-7,0
150117169358600,m,-5,0
150117177406900,m,-1,0
150117208447200,m,-1,0
150117208555400,m,2,0
150117209466600,m,2,0
150117218364200,m,11,1
150117226327700,m,18,1
150117234364700,m,26,0
150117241387100,m,28,1
150117250342000,m,44,1
150117258345500,m,48,2
150117266352600,m,60,2
150117274343200,m,65,3
150117282346900,m,89,3
150117290354400,m,107,4
150117298351000,m,123,3
150117306339200,m,137,3
150117307632800,w,0,0
150117314404900,m,149,3
150117322369800,m,161,2
150117330396200,m,173,2
150117338351700,m,183,1
150117346361400,m,189,0
150117354368100,m,191,0
150117362349300,m,189,1
150117370328000,m,181,0
150117378469100,m,171,-1
150117385541800,m,138,-2
150117393598300,m,142,-1
150117402359700,m,137,-2
150117409473200,m,89,-1
150117418409000,m,91,-1
150117426346200,m,56,-1
150117434383700,m,36,1
150117442384100,m,17,3
150117449598500,Du,0,0
150117450320700,m,3,5
150117450504500,m,-1,0
150117451281800,m,0,1
150117463362400,m,-19,8
150117471368700,m,-17,5
150117525377300,m,-4,1
150117692403200,m,4,-1
150117704390800,m,26,-9
150117712389300,m,34,-8
150117720450100,m,46,-6
150117729375300,m,59,-7
150117736430900,m,57,-4
150117744375900,m,82,-4
150117752348500,m,87,-3
150117759638000,d,0,0
150117759728600,m,76,-2
150117768355500,m,95,-4
150117776343000,m,79,-5
150117784425900,m,73,-5
150117792356400,m,64,-6
150117800400800,m,57,-5
150117808515400,m,49,-5
150117815372400,m,37,-4
150117824384900,m,37,-5
150117832357300,m,23,-5
150117840350300,m,15,-5
150117851436300,m,6,-4
150117866418200,m,1,-2
150117867433400,m,0,-1
150117877404400,m,-1,-1
150117888383200,m,-5,-3
150117891556100,Du,0,0
150117896392800,m,-3,-2
150117903542500,m,-3,-1
150117923562100,m,-3,0
150117947572000,a,0,0
150117957448400,m,-1,0
150118040418600,m,1,0
150118055542500,m,7,0
150118061428500,m,5,-1
150118069445500,m,7,0
150118077349900,m,7,-1
150118086386800,m,9,0
150118093348200,m,8,0
150118103402100,m,7,0
150118109350200,m,6,0
150118117482400,m,4,0
150118126396100,m,7,0
150118133354500,m,4,1
150118142517900,m,4,0
150118151413300,m,4,1
150118157355800,m,3,0
150118166407600,m,1,0
150118174409300,m,1,0
150118195407400,m,3,0
150118198441600,m,1,0
150118210373200,m,6,-1
150118218396700,m,3,-1
150118225392000,m,4,-1
150118236415400,m,8,-2
150118242347100,m,6,-2
150118250394300,m,6,-1
150118258344800,m,9,-2
150118266426000,m,8,-1
150118274508700,m,7,-1
150118282344600,m,8,-1
150118289376800,m,6,0
150118298330700,m,8,0
150118304897900,Au,0,0
150118306289700,m,7,0
150118314558200,d,0,0
150118315285500,m,6,0
150118324400900,m,6,0
150118331436300,m,5,0
150118339345000,m,6,1
150118346363300,m,7,1
150118354358400,m,7,0
150118362410800,m,7,0
150118373421100,m,5,1
150118378493700,m,2,0
150118389533000,m,1,0
150118415403800,m,-1,0
150118426398800,m,-1,0
150118436413700,m,0,1
150118446590200,Du,0,0
150118451395600,m,0,2
150118461444400,m,1,2
150118464746700,a,0,0
150118470451200,m,2,3
150118474422700,m,1,1
150118488348100,m,4,5
150118498381200,m,3,5
150118504435900,m,3,6
150118513371400,m,3,7
150118520347900,m,3,9
150118528338900,m,3,11
150118536364900,m,3,14
150118544356800,m,4,15
150118549579300,d,0,0
150118552346400,m,4,16
150118560406400,m,4,17
150118568334600,m,5,16
150118576470400,m,5,13
150118584344900,m,4,11
150118592368900,m,6,9
150118600387200,m,3,3
150118607378900,m,3,2
150118619392100,m,5,1
